Received regular ping from 23.15.9.137, time=12 ms
Received regular ping from 217.72.250.30, time=108 ms
Received regular ping from 104.68.154.62, time=13 ms
Received regular ping from 23.62.6.161, time=19 ms
Received regular ping from 23.62.6.218, time=12 ms
Received regular ping from 23.62.6.97, time=13 ms
Received regular ping from 23.62.6.90, time=13 ms
Received regular ping from 23.192.160.11, time=12 ms
Received regular ping from 23.192.160.8, time=11 ms
Received regular ping from 199.27.76.192, time=18 ms
Received regular ping from 23.235.39.192, time=29 ms
Received regular ping from 54.192.195.196, time=13 ms
Received regular ping from 54.225.69.238, time=12 ms
Received regular ping from 96.6.113.203, time=12 ms
Received regular ping from 96.6.113.187, time=14 ms
Received regular ping from 23.13.161.115, time=12 ms
Received regular ping from 72.5.226.144, time=87 ms
Received regular ping from 66.230.130.232, time=20 ms
Received regular ping from 64.13.138.106, time=26 ms
Received regular ping from 23.15.9.163, time=12 ms
Received regular ping from 23.15.9.171, time=11 ms
Received regular ping from 198.41.249.66, time=12 ms
Received regular ping from 162.159.240.67, time=21 ms
Received regular ping from 192.16.31.62, time=11 ms
Received regular ping from 23.3.13.153, time=20 ms
Received regular ping from 23.3.13.138, time=19 ms
Received regular ping from 167.246.44.156, time=25 ms
Received regular ping from 23.23.230.49, time=20 ms
Received regular ping from 170.149.168.130, time=18 ms
Received regular ping from 209.126.235.136, time=19 ms
Received regular ping from 72.21.92.20, time=19 ms
Received regular ping from 23.235.46.184, time=14 ms
Received regular ping from 23.235.39.184, time=28 ms
Failed to receive regular ping from 54.174.7.87, time=0 ms
Received regular ping from 54.174.86.57, time=71 ms
Received regular ping from 96.6.113.233, time=12 ms
Received regular ping from 96.6.113.218, time=12 ms
Received regular ping from 104.130.144.200, time=45 ms
Received regular ping from 54.174.184.17, time=20 ms
Failed to receive regular ping from 54.165.228.240, time=0 ms
Failed to receive regular ping from 54.209.222.62, time=0 ms
Received regular ping from 104.28.6.7, time=12 ms
Received regular ping from 104.28.7.7, time=11 ms
Received regular ping from 104.28.5.45, time=11 ms
Received regular ping from 104.28.4.45, time=11 ms
Received regular ping from 23.3.13.128, time=15 ms
Received regular ping from 23.3.13.89, time=12 ms
Received regular ping from 23.15.9.145, time=16 ms
Received regular ping from 23.15.9.154, time=12 ms
Received regular ping from 74.125.228.94, time=13 ms
Received regular ping from 108.162.203.74, time=11 ms
Received regular ping from 108.162.204.74, time=12 ms
Received regular ping from 38.102.136.104, time=83 ms
Received regular ping from 54.225.75.5, time=123 ms
Received regular ping from 107.20.216.59, time=19 ms
Received regular ping from 195.149.84.101, time=21 ms
Received icmp->type=3 icmp->code=3
Received regular ping from 195.149.84.100, time=96 ms
Received regular ping from 54.243.237.62, time=33 ms
Received regular ping from 54.230.195.111, time=18 ms
Received regular ping from 54.239.152.188, time=13 ms
Received regular ping from 54.230.193.225, time=12 ms
Received regular ping from 54.192.193.15, time=12 ms
Received regular ping from 54.239.152.215, time=12 ms
Received regular ping from 54.230.192.131, time=14 ms
Received regular ping from 54.230.193.226, time=12 ms
Received regular ping from 54.239.152.46, time=12 ms
Received regular ping from 23.92.23.113, time=17 ms
Received regular ping from 50.116.56.184, time=18 ms
Received regular ping from 107.162.132.43, time=12 ms
Received regular ping from 104.68.130.69, time=12 ms
Received regular ping from 107.22.170.19, time=103 ms
Received regular ping from 46.28.209.1, time=18 ms
Received regular ping from 199.83.132.106, time=20 ms
Failed to receive regular ping from 54.173.159.207, time=0 ms
Failed to receive regular ping from 54.209.155.205, time=0 ms
Received regular ping from 50.56.5.247, time=36 ms
Received regular ping from 178.18.22.152, time=56 ms
Received regular ping from 23.15.9.163, time=13 ms
Received regular ping from 23.15.9.171, time=12 ms
Received regular ping from 64.147.131.219, time=20 ms
Received regular ping from 172.229.228.176, time=19 ms
Received regular ping from 54.226.85.56, time=22 ms
Received regular ping from 199.181.132.249, time=31 ms
Received regular ping from 54.209.142.181, time=24 ms
Failed to receive regular ping from 54.174.93.70, time=0 ms
Received regular ping from 162.159.240.138, time=11 ms
Received regular ping from 162.159.241.138, time=12 ms
Received regular ping from 76.74.254.120, time=53 ms
Received regular ping from 76.74.254.123, time=59 ms
Failed to receive regular ping from 192.0.81.250, time=0 ms
Received regular ping from 66.155.11.238, time=12 ms
Received regular ping from 66.155.9.238, time=11 ms
Received regular ping from 192.0.80.250, time=97 ms
Failed to receive regular ping from 204.14.213.185, time=0 ms
Received regular ping from 192.0.83.250, time=21 ms
Received regular ping from 66.155.9.244, time=12 ms
Received regular ping from 76.74.255.117, time=21 ms
Received regular ping from 192.0.82.250, time=21 ms
Received regular ping from 76.74.255.123, time=53 ms
Received regular ping from 66.155.11.244, time=11 ms
Received regular ping from 107.23.223.174, time=21 ms
Received regular ping from 54.88.173.54, time=22 ms
Failed to receive regular ping from 54.215.250.129, time=0 ms
Received regular ping from 54.183.165.12, time=18 ms
Failed to receive regular ping from 38.108.107.17, time=0 ms
Received regular ping from 23.15.9.171, time=11 ms
Received regular ping from 23.15.9.178, time=11 ms
Received regular ping from 108.161.188.64, time=12 ms
Received regular ping from 54.186.100.172, time=34 ms
Received regular ping from 23.3.13.114, time=12 ms
Received regular ping from 23.3.13.112, time=11 ms
Received regular ping from 54.225.201.210, time=11 ms
Received regular ping from 23.62.6.161, time=15 ms
Received regular ping from 23.62.6.200, time=11 ms
Received regular ping from 54.243.247.173, time=12 ms
Received regular ping from 54.243.185.251, time=12 ms
Received regular ping from 104.68.129.24, time=12 ms
Received regular ping from 74.201.12.121, time=34 ms
Received regular ping from 94.245.88.233, time=21 ms
Received regular ping from 190.93.247.244, time=12 ms
